thr,N,M,time,K
4,150,15,0.000883125,299
4,150,15,0.000776542,153
4,150,15,0.000979834,281
4,150,15,0.000963458,317
4,150,15,0.000574167,304
4,150,15,0.000842167,198
4,150,15,0.000660792,227
4,150,15,0.000695125,294
4,150,15,0.000781959,292
4,150,15,0.00071325,326
4,150,15,0.000776167,164
4,150,15,0.000849292,254
4,150,15,0.00103975,339
4,150,15,0.000699166,315
4,150,15,0.000577667,271
4,150,15,0.000633125,334
4,150,15,0.00071325,232
4,150,15,0.000642958,384
4,150,15,0.000696625,282
4,150,15,0.000573042,355
4,150,15,0.001137,211
4,150,15,0.00127346,250
4,150,15,0.000699417,297
4,150,15,0.000505375,393
4,150,15,0.000566708,223
4,150,15,0.000653625,253
4,150,15,0.000526583,357
4,150,15,0.000701083,285
4,150,15,0.00144667,175
4,150,15,0.000898541,229
4,150,15,0.000757583,300
4,150,15,0.000553791,373
4,150,15,0.000635125,223
4,150,15,0.000652334,259
4,150,15,0.000559209,243
4,150,15,0.0004945,315
4,150,15,0.000646875,231
4,150,15,0.000636709,245
4,150,15,0.00139304,311
4,150,15,0.000852,275
4,150,15,0.000572333,371
4,150,15,0.000569917,330
4,150,15,0.000833209,231
4,150,15,0.000855542,238
4,150,15,0.000506042,262
4,150,15,0.000505334,305
4,150,15,0.000841584,270
4,150,15,0.000780083,212
4,150,15,0.000630291,328
4,150,15,0.000588583,304
4,150,15,0.000852166,190
4,150,15,0.000570958,333
4,150,15,0.00243133,378
4,150,15,0.000520541,258
4,150,15,0.000963542,213
4,150,15,0.000698666,314
4,150,15,0.000965292,394
4,150,15,0.000645042,361
4,150,15,0.000567958,260
4,150,15,0.000643458,402
4,150,15,0.000643334,210
4,150,15,0.000508292,299
4,150,15,0.000495292,392
4,150,15,0.000694708,257
4,150,15,0.000571375,294
4,150,15,0.000514042,275
4,150,15,0.00106246,274
4,150,15,0.000824458,241
4,150,15,0.000739958,210
4,150,15,0.00064,222
4,150,15,0.00132662,343
4,150,15,0.000578458,191
4,150,15,0.000639042,347
4,150,15,0.000534334,435
4,150,15,0.000516834,197
4,150,15,0.000567208,401
4,150,15,0.00056,383
4,150,15,0.00065775,342
4,150,15,0.00104025,316
4,150,15,0.00057675,320
4,150,15,0.000908625,254
4,150,15,0.00126942,226
4,150,15,0.000710792,256
4,150,15,0.000713584,296
4,150,15,0.000504334,308
4,150,15,0.000531458,423
4,150,15,0.000517542,332
4,150,15,0.000583792,245
4,150,15,0.000571708,294
4,150,15,0.000593792,282
4,150,15,0.000512416,254
4,150,15,0.000486416,371
4,150,15,0.000508167,233
4,150,15,0.000773833,467
4,150,15,0.000552041,253
4,150,15,0.000509625,301
4,150,15,0.000514708,309
4,150,15,0.00109971,178
4,150,15,0.000561917,245
4,150,15,0.000773584,320
4,150,15,0.00103125,242
4,150,15,0.000513167,321
4,150,15,0.000687042,290
4,150,15,0.00088075,314
4,150,15,0.000655833,353
4,150,15,0.000841334,313
4,150,15,0.00103167,281
4,150,15,0.000640708,383
4,150,15,0.00065975,194
4,150,15,0.000956625,212
4,150,15,0.000566458,257
4,150,15,0.000771333,192
4,150,15,0.000794375,371
4,150,15,0.000506083,382
4,150,15,0.000581042,249
4,150,15,0.000504958,388
4,150,15,0.000564334,234
4,150,15,0.000570875,194
4,150,15,0.00076,199
4,150,15,0.0006445,372
4,150,15,0.000518875,283
4,150,15,0.000706,217
4,150,15,0.000515333,280
4,150,15,0.000712375,294
4,150,15,0.000841958,226
4,150,15,0.000702042,278
4,150,15,0.000642041,327
4,150,15,0.000652875,412
4,150,15,0.000698875,279
4,150,15,0.000726167,338
4,150,15,0.000770042,252
4,150,15,0.000509083,317
4,150,15,0.00103129,172
4,150,15,0.000632334,253
4,150,15,0.000932083,304
4,150,15,0.000641208,269
4,150,15,0.000720666,256
4,150,15,0.000508041,299
4,150,15,0.00140108,297
4,150,15,0.00062225,344
4,150,15,0.0008955,317
4,150,15,0.000634916,271
4,150,15,0.000512417,442
4,150,15,0.000513125,269
4,150,15,0.000726208,262
4,150,15,0.000504625,285
4,150,15,0.000526417,324
4,150,15,0.000534833,386
4,150,15,0.00051875,226
4,150,15,0.000557625,300
4,150,15,0.000499667,256
4,150,15,0.000596125,352
4,150,15,0.000640708,275
4,150,15,0.000511792,225
4,150,15,0.0006355,259
4,150,15,0.000576833,306
4,150,15,0.000516417,326
4,150,15,0.000511208,250
4,150,15,0.00163417,221
4,150,15,0.000664875,215
4,150,15,0.000509125,250
4,150,15,0.000918209,303
4,150,15,0.000790667,359
4,150,15,0.000725292,288
4,150,15,0.000574708,326
4,150,15,0.000516208,284
4,150,15,0.000557708,379
4,150,15,0.000712292,196
4,150,15,0.00108212,211
4,150,15,0.000491334,314
4,150,15,0.000571625,227
4,150,15,0.000635,362
4,150,15,0.000621041,292
4,150,15,0.000505667,422
4,150,15,0.000727083,373
4,150,15,0.00115129,327
4,150,15,0.000509709,302
4,150,15,0.000790417,313
4,150,15,0.000590791,300
4,150,15,0.000522833,239
4,150,15,0.0005065,287
4,150,15,0.000914791,339
4,150,15,0.000570334,258
4,150,15,0.00163667,290
4,150,15,0.000541,351
4,150,15,0.000713167,276
4,150,15,0.000820792,228
4,150,15,0.000765584,246
4,150,15,0.000701125,295
4,150,15,0.000987666,256
4,150,15,0.000511916,252
4,150,15,0.000555583,226
4,150,15,0.000699041,429
4,150,15,0.000529167,315
4,150,15,0.000558709,252
4,150,15,0.00076875,238
4,150,15,0.000721666,264
4,150,15,0.000561708,248
4,150,15,0.000707917,340
4,150,15,0.000775834,321
4,150,15,0.000626083,356
4,150,15,0.00127629,274
4,150,15,0.00050025,279
4,150,15,0.00121975,241
4,150,15,0.000505125,298
4,150,15,0.000639875,449
4,150,15,0.000561083,306
4,150,15,0.00109242,212
4,150,15,0.000510667,224
4,150,15,0.000962542,201
4,150,15,0.000509667,436
4,150,15,0.000520792,281
4,150,15,0.000629916,202
4,150,15,0.000625584,363
